"","x"
"1","C3L-03639-03;C3L-03639-02;C3L-03639-01"
"2","C3N-03665-01"
"3","C3L-04495-03;C3L-04495-01;C3L-04495-02"
"4","C3L-01051-02"
"5","C3N-03000-02"
"6","C3L-00881-71;C3L-00881-73"
"7","C3N-01716-03"
"8","C3L-03632-03;C3L-03632-02"
"9","C3L-01687-03;C3L-01687-02;C3L-01687-01"
"10","C3N-02573-01;C3N-02573-02"
"11","C3L-03395-02"
"12","C3L-01453-04"
"13","C3N-03173-01"
"14","C3N-03173-06"
"15","C3N-02589-03"
"16","C3N-03754-01"
"17","C3L-02606-04"
"18","C3N-00512-01;C3N-00512-02"
"19","C3L-02109-02;C3L-02109-03"
"20","C3N-01381-02;C3N-01381-01"
"21","C3N-01012-02;C3N-01012-01"
"22","C3N-03086-02"
"23","C3L-02463-05"
"24","C3L-04479-02;C3L-04479-01"
"25","C3L-01031-01"
"26","C3L-01662-03"
"27","C3N-00516-02;C3N-00516-01"
"28","C3N-04119-02"
"29","C3N-03670-01"
"30","C3L-00189-02;C3L-00189-01;C3L-00189-03"
"31","C3L-02888-04"
"32","C3L-00102-01"
"33","C3N-00709-01"
"34","C3L-01037-01"
"35","C3N-03211-02;C3N-03211-01"
"36","C3N-02590-01"
"37","C3L-02463-02;C3L-02463-01"
"38","C3L-01328-01"
"39","C3N-00436-05"
"40","C3L-02809-06"
"41","C3N-01375-02;C3N-01375-03"
"42","C3L-04475-01;C3L-04475-02"
"43","C3N-03039-01"
"44","C3L-02613-02;C3L-02613-03"
"45","C3L-02897-01"
"46","C3N-03440-01"
"47","C3N-02579-02"
"48","C3L-02112-04"
"49","C3L-02112-02;C3L-02112-03"
"50","C3L-01158-01"
"51","C3L-04027-01"
"52","C3L-04027-07"
"53","C3L-00401-02;C3L-00401-03;C3L-00401-01"
"54","C3N-02592-01"
"55","C3N-02971-01"
"56","C3L-00102-06"
"57","C3N-01167-01;C3N-01167-02"
"58","C3N-03007-02"
"59","C3L-03743-01"
"60","C3L-01328-03"
"61","C3N-02997-01"
"62","C3N-03190-01;C3N-03190-02"
"63","C3L-00599-01;C3L-00599-03;C3L-00599-02"
"64","C3N-01165-03;C3N-01165-02"
"65","C3L-04473-01"
"66","C3L-02809-04"
"67","C3L-00017-02"
"68","C3L-00017-04"
"69","C3N-03853-02;C3N-03853-01"
"70","C3N-01714-02"
"71","C3L-03348-03"
"72","C3L-03388-02"
"73","C3L-00598-02;C3L-00598-03"
"74","C3N-01011-06"
"75","C3N-01011-02"
"76","C3N-02585-01;C3N-02585-02"
"77","C3L-03356-02"
"78","C3N-02295-04"
"79","C3L-02613-04"
"80","C3N-00518-01"
"81","C3N-00518-05"
"82","C3N-01715-02"
"83","C3N-03440-04"
"84","C3N-01380-01;C3N-01380-03"
