case_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-3A-A9IU,-0.31555745,-2.5221334,-0.7733009,-0.80550385,-0.38582313,1.1131262,-0.089852184,0.021826237,-0.7388392,-1.4316901,0.20005518,1.1344866,-1.2190561,-0.61874276,0.067425,0.34409288,0.760116,-0.68491846,0.6985643,-0.8895993,-2.2446764,0.77075577,-0.8392102,-2.924605,1.3919203,-0.77847856,-0.7661798,-0.18710917,1.0503523,-1.5664059,-0.16987747,0.15125525,-1.2633399,-0.6287503,1.1859473,-0.70756,-1.7212415,-0.06184846,0.073069766,0.20169428,-4.6210384,-0.3051579,-0.98522323,1.076164,-0.8965758,-1.3490034,-2.2678175,-0.025977317,-0.17004749,0.39774823,0.19837004,0.15968487,0.07247466,-0.6187264,-0.457255,1.182908,-0.86241484,1.2187749,1.1690595,0.5019147,1.1333363,0.5982461,0.5558041,0.53535354,0.23493665,-0.047315985,0.3848815,-0.027997233,0.69051576,0.80667365,0.029620565,2.46577,0.7107698,0.14872496,0.09392176,0.19261524,-1.2264606,-0.48572594,0.6799537,-1.1921836,0.5744678,-0.91248196,1.1012468,0.33404917,1.4180447,1.4505869,-0.22333227,-1.6645278,-0.30280614,1.0942993,-0.4290789,-0.6544068,-1.8233938,-2.5683172,-0.16410765,0.70602715,0.4545806,-0.62293214,0.75870496,-1.1868215
TCGA-S4-A8RM,-0.7747811,-1.0362571,-1.1619627,-0.7345233,0.45053595,0.9811209,1.1790892,0.5652583,2.3200958,0.94404924,-0.3107652,1.176853,1.3628175,0.02614918,0.59925294,1.4885608,0.2648462,1.4222503,-0.694739,-1.1389221,1.611748,-0.7550749,0.009500626,-1.6125178,1.115999,-0.086701065,0.32099035,1.2951369,-1.177016,-0.91797686,1.0574293,-0.03795725,0.16122183,-0.75838464,0.5714153,1.2415923,0.4572699,-0.37133712,0.12508939,0.114448726,0.13396472,-0.6717286,-0.020533502,-1.900761,-1.0613155,1.0361283,0.30560002,1.3932186,-1.2757088,-1.7331136,0.1748009,-1.2178078,0.016131103,0.61958164,-0.92677325,-0.055937976,0.6238096,-0.47498903,1.0759187,0.18758044,0.46443918,1.2565734,-0.4850221,-0.97975975,1.2103041,1.7934839,0.72970176,0.6592926,-1.0422025,1.4884907,1.8385031,-1.3408153,-0.73829126,-1.9398674,-0.04944864,-0.42100382,-0.16099308,-0.45643082,-0.40591234,-0.22670552,1.4280602,-1.2885936,1.3458217,0.58145547,0.12164987,1.0915351,-0.36566928,3.6784754,0.058206886,0.023484051,0.7038593,-1.1745225,-0.81216013,-1.4780757,-0.898697,0.07631366,-0.32159823,0.8663191,0.9812918,1.5049316
TCGA-IB-7652,0.024566755,-1.0298629,0.49918768,0.64979875,-0.25709152,-0.83265376,-1.4689599,-0.5664603,-0.6096662,1.0342113,-0.34773028,1.1796026,1.0405781,-1.3449636,1.1921797,-0.2823889,0.35670716,0.6153561,-0.30874866,1.4487145,-1.4452155,0.30070734,-1.7503259,-0.5095183,0.1856327,0.5067803,-0.54324687,1.028826,0.9042368,-0.56374854,-0.09882926,1.2709551,1.6532032,0.20988555,0.32341942,-0.9076686,-0.46387792,-0.86117756,-0.4290562,0.46148285,-0.200152,0.16893753,-0.9544643,-0.39643785,-1.3484846,1.1987052,-0.5267683,1.5268053,-0.6905867,0.26389357,1.684705,-0.2620835,1.3398626,-0.40498367,0.12684846,1.8850944,-0.73161566,-0.50466156,1.4340215,1.3041728,1.1283762,0.7064818,-0.8911104,1.4299588,-2.0202494,0.83306366,-0.30656505,0.9793986,-0.057777405,0.17836821,0.1290956,1.7097977,1.2444385,-0.26715946,1.1935283,0.9921448,0.43808576,0.45728242,-0.56785154,-1.035375,-1.5088032,1.1681415,-0.7888718,-0.49272418,-0.79846716,0.025925502,0.0067438185,1.0524619,-1.9035397,-1.4751809,1.0720987,1.2299536,0.27336398,-0.20605241,0.04833433,-0.9088417,-1.6265051,-0.36162812,0.7634394,2.0055647
TCGA-HV-A7OL,-0.6740951,2.9448802,-0.47439548,-0.18554011,-0.34423292,1.4838525,1.0586885,1.9980645,-0.16484958,-0.034172893,-0.3610224,-0.23562755,-0.0751099,-0.0555915,-0.08174209,-0.07928994,-0.17131992,0.33403984,-0.9827888,1.6757448,-1.7351179,0.12399942,0.111898415,1.2647867,-0.62775534,0.7384192,1.398025,0.29106158,-0.3253375,0.082569376,1.5553492,0.09632832,1.113205,-0.75604045,-0.58539814,-0.45765972,0.5475221,0.22566018,1.2682269,1.5747063,1.9548061,-2.0615318,0.5352851,-0.7962308,-0.9154315,-0.11424528,0.4021948,-0.7584414,0.29738426,1.376692,1.739209,-0.4363102,-1.8555684,0.99211144,0.15191813,-0.5239986,-1.204967,-0.38205144,0.10963461,0.7873918,-0.92108935,-0.7417706,1.2043523,0.13798743,0.37635836,-0.21533892,0.024265394,-0.61301154,1.784236,-0.13741928,-1.4006757,1.1576712,-0.21833599,0.87046754,0.20767352,0.010034084,0.08844328,-0.045217887,0.6293423,-1.1115693,0.7658626,1.5529937,-0.8516894,-0.20273371,2.4959867,-0.47337648,1.1055647,-1.6200547,-0.46567252,-1.0507158,-0.16726384,-0.04878037,-0.3459555,-1.4944991,-0.56242007,-1.2123036,-0.6654957,-0.45581517,1.3639346,0.5809436
TCGA-HV-AA8V,-0.030564666,-0.72856957,-0.39853263,0.31252116,0.07819249,-1.1155608,0.4827035,-0.44603777,-2.1191308,0.43909973,-1.8288113,-0.7105725,-1.0387337,0.15774675,-1.9046333,-0.15562864,-0.7125783,-1.5900182,-0.776905,-0.45422572,-0.33938354,0.07866563,0.20231801,-0.86085695,-1.1010991,0.477374,-1.9353067,-0.40982366,0.43333942,0.68479496,0.27460656,-0.15230402,0.25114223,0.38175464,-1.1074772,0.8438556,1.2148435,-0.11526865,-1.0915425,-0.77052325,-2.225546,-1.1634772,0.27374434,1.6637331,-0.35179257,-0.25808412,-0.8495067,0.8754075,-0.6785775,0.14755018,0.6759014,-1.6021038,0.28888756,0.46907926,1.2122535,1.1738342,-0.91769874,-0.004308775,0.7594955,0.5520987,-1.0858499,0.51747733,-0.9108013,0.11888366,0.74423575,-0.9150575,0.5944086,1.7738451,1.3576256,1.6531835,-0.5521735,0.39055723,-0.7037262,-0.14474551,-0.71627474,-0.41188002,0.58614814,-0.89337385,-0.019293975,1.0247836,-0.3454303,-0.22490284,0.69461566,-1.0113337,-1.2310667,-1.3688855,1.9269092,-0.31663164,-0.23059684,0.2270635,0.69303477,0.97786117,0.50291896,-0.52167857,0.5620502,-2.13157,-0.66477793,0.84945303,0.4906488,-0.22678334
TCGA-FB-AAPU,0.7346924,1.9463863,1.1809096,0.42073733,-0.9827287,1.9746841,0.12571713,1.0619318,0.431161,0.24768001,-0.27618158,-0.988183,0.7891628,-1.4921031,1.0604268,0.19542775,-0.54472697,-0.69280064,0.31808499,0.33850223,-0.12191959,-0.07566579,-0.12628965,1.1596828,-0.61388034,-1.4231075,0.44959217,-0.024156943,-0.34260172,-1.209178,0.6096763,1.0240192,-0.74003583,0.15307812,-0.31633508,-0.23035161,1.3101803,0.26221794,-0.06426157,1.430629,-1.2973126,-0.33702978,-0.21843897,-0.07205349,-0.7328977,1.9781951,-2.0215049,0.3360427,-1.0669185,0.85139287,-1.3149627,-0.8895856,-0.004431639,-0.84467816,-1.1609838,0.5441927,0.91396534,1.4919151,-1.1773384,-0.61631835,-0.4657042,0.63920414,0.68111384,1.2553552,0.44862062,0.35676897,0.0638006,-0.6215883,0.28651863,-0.98148876,1.9664013,0.4840592,0.5833901,0.8482091,-0.44883865,0.1382437,1.0457149,-0.47820288,2.6181438,-1.7413124,-0.5584373,-1.1882056,0.5156078,0.28596687,0.20018539,1.4208035,-1.1942881,-1.2570605,0.18426365,-1.5032994,-1.9550978,-1.3611088,-0.5687488,-1.6732347,-0.254822,1.3324748,-0.15150897,0.39309615,1.2789693,-0.08070919
TCGA-PZ-A5RE,-1.209947,-0.18158141,-0.4796386,-0.3292084,1.2197994,1.4550995,0.41674677,-2.1892128,0.5543828,1.3407366,1.2494482,0.78547287,-1.220542,2.2567933,-0.9312641,-0.35568213,1.0299706,-1.2699142,-1.7802835,0.20376603,0.13943237,-0.113462195,-0.6449696,-0.5159842,0.9746628,0.42237288,-0.112793386,-0.2618785,-0.6904722,-1.1409547,0.69028926,-0.24586679,0.6304642,-1.2276398,-1.0698003,-1.2923398,-2.0130258,-0.05675891,-0.77458584,0.31168282,-0.85241586,-0.33768904,0.21345086,1.1954727,0.5544529,-0.21673307,0.74079704,0.35650748,1.1654079,-1.0437824,-1.6540611,0.79868627,-1.9792576,2.7772276,-0.08972302,-1.6297686,-0.5403556,1.1711224,1.740286,-0.8968059,0.15745501,-0.6077685,-0.68200016,0.32684147,-0.28237072,0.060832128,1.0944098,1.2440394,-0.13691324,-1.100528,0.7127656,1.8642983,0.70686704,-1.2792549,-0.2876985,-1.259567,-2.2466018,-0.7369665,-1.019885,0.28203487,-0.4161624,-0.5555881,-0.9625516,0.5793016,0.011622608,-0.52681255,-0.0012748688,-1.3260349,0.44789934,-1.067802,0.12938434,0.806493,-0.3499993,1.6800764,-1.4386419,-0.21678412,-0.66407925,-3.0186155,-0.3098833,1.5796088
TCGA-3A-A9J0,0.0095641315,-0.68246186,0.5397657,1.0402613,1.803263,1.0127115,-0.35345286,0.4918303,-0.37363845,-0.25458837,-0.6559024,1.9300015,0.9608516,-0.11976408,-0.6690404,-0.83456314,0.15221718,-0.21997392,-0.9857514,0.25707096,-2.1638615,-0.25714505,0.7153516,-0.34943855,0.8764885,0.034957796,1.0390742,-0.32935944,-1.2722212,-0.4464637,-0.7871531,0.5637611,0.3464995,-1.1047623,1.4459062,0.30455184,0.26289886,0.6863824,-0.47682095,1.0138862,-0.7437636,-0.528726,-1.2361373,1.1435897,-0.35206157,1.0555227,-0.34708068,0.35903805,-0.47521126,0.12356268,-0.8474242,0.928395,0.59153146,-0.74361384,-0.60622793,0.87885106,1.141479,-0.39377785,1.3987095,1.3860677,-1.5546407,0.4849205,0.24255101,-0.5736511,-0.76723367,0.9464412,1.8850032,-1.2431629,-0.8850384,-0.3155541,-0.2745826,0.51976156,0.28578895,-0.91680473,0.7987124,0.36347273,-0.18025139,1.1481855,-0.97176754,-0.072371066,-1.5387197,-0.97256786,-0.16107231,0.552017,0.22791457,1.7646103,-1.4781289,0.88524735,-0.9415735,-0.013665974,0.48503435,-0.719089,-0.5064732,-1.0452911,2.0853524,-0.71459895,-1.1068708,-0.18956764,0.19093987,-0.6037881
TCGA-RB-A7B8,-0.41361332,3.2853117,-1.8978965,-0.49377027,0.502451,-0.23499437,1.3834451,-0.59357715,-0.48790914,-1.7271382,0.3604017,1.1407098,-0.9826879,-0.40923148,-0.9037515,-0.3197938,-0.026724726,-1.1851887,-0.35462612,-1.5153517,2.4738648,-1.6950359,0.09643336,0.3381161,0.16288583,0.57170415,-0.45906788,0.079511255,-0.6157155,-1.5494986,-1.4187074,0.30199972,2.1216621,-2.420293,1.8420364,-1.4187229,1.2027818,-1.3924398,1.0926248,-1.1998724,1.5569113,0.49045315,-0.2844959,-0.6195226,-0.108028084,1.9659272,-0.03448449,0.83381844,-0.5479581,-1.4194744,-0.87777936,-0.18583217,0.97877574,1.2969079,-1.1920558,-0.2358199,-2.401726,0.7129065,-2.2678297,-1.185467,0.103815585,-0.2833143,-0.7031908,1.3818387,-2.5981164,-0.61277187,0.16984712,0.6689313,-0.61614746,1.5446681,0.16231604,-1.1066341,1.2671278,0.7022844,-0.7039661,0.17536144,-0.14781415,-0.08075556,-0.5731548,-0.82314825,-0.2753362,0.40135476,-0.08124855,-0.04429993,0.45832965,-0.6458525,-0.50240076,-0.3696645,-0.38717455,-0.35180104,1.4726713,-0.4482653,0.55028045,-0.80508715,-1.0201027,0.17604434,-0.08450924,-2.6652246,-0.3003027,0.84752464
TCGA-FB-A5VM,0.3880556,2.8549488,0.7851889,-1.9308708,0.56186986,-0.19274011,-0.7167105,-0.7761597,-0.24446167,-0.740775,-0.84098595,-1.3235795,0.97007376,0.065186426,-0.842005,-0.4185714,-2.0993226,-1.3074086,-0.37626576,0.52135056,0.37732384,0.9102466,0.27598882,-0.6226695,0.624175,0.5478685,1.460415,-0.6811067,1.4225856,-0.63104534,1.2246091,-0.71717566,0.92460173,-2.0577679,-2.2561133,-0.19737485,-1.1635439,0.41537753,-1.1645662,-1.3875619,-1.3017232,-1.2849002,-0.6820412,-0.41263664,-0.42522395,0.40949333,0.36085,0.7697059,2.461556,-1.1521955,-0.26012683,-0.22318816,1.2042232,0.31521606,0.67507255,0.051623724,-0.59367126,0.05714231,1.0506274,0.35335034,1.2905068,0.33747002,0.6532328,1.5853121,0.79539436,-1.3915602,0.65979445,0.8438764,-0.6881815,0.42919683,0.029788408,1.0425941,-0.8623206,-1.1286463,-0.21680632,0.17189586,-1.066994,-0.49262726,-1.5912083,1.85644,-0.8946128,0.8241022,0.4823799,0.23859394,0.91412514,-0.8555975,-0.7204585,-0.6744119,-0.88964283,0.60094225,-0.7204591,3.0312035,-0.14395738,-0.5716318,-1.3014672,-0.40857783,0.027823463,0.67183316,0.9390651,-1.718803
